term_ccn,dept_name,catalog_id,instruction_format,section_num
2005-D-43132,INTEGBI,131,LEC,001
2008-D-49688,LAW,2723,SEM,001
2009-B-49985,LAW,27171,SEM,002
2009-B-81852,SOCIOL,150A,LEC,001
2009-B-87384,STAT,21,LEC,001
2009-D-39612,HISTORY,162A,LEC,001
2009-D-54296,MATH,53,LEC,001
2009-D-87303,STAT,2,LEC,001
2009-D-87441,STAT,21,LEC,002
2010-B-11206,CHEM,1A,LEC,002
2010-B-25485,EL ENG,141,LEC,001
2010-B-25815,EL ENG,240,LEC,001
2010-B-26275,COMPSCI,61A,LEC,001
2010-B-51962,L & S,C70V,LEC,001
2010-B-69390,PHYSICS,C10,LEC,001
2010-B-76238,PB HLTH,253E,LEC,001
2010-B-7703,BIOLOGY,1A,LEC,001
2010-B-7784,BIOLOGY,1AL,LEC,001
2010-B-7859,BIOLOGY,1B,LEC,001
2010-B-87405,STAT,21,LEC,001
2010-D-10753,CHEM,1A,LEC,001
2010-D-10966,CHEM,3B,LEC,002
2010-D-1203,ENVECON,C1,LEC,001
2010-D-1326,ENVECON,C181,LEC,001
2010-D-18603,DEV STD,C10,LEC,001
2010-D-22369,ECON,C3,LEC,001
2010-D-22684,ECON,C181,LEC,001
2010-D-25248,EL ENG,40,LEC,001
2010-D-25491,EL ENG,141,LEC,001
2010-D-25821,EL ENG,C245,LEC,001
2010-D-26250,COMPSCI,10,LEC,001
2010-D-26275,COMPSCI,61A,LEC,001
2010-D-26512,COMPSCI,162,LEC,001
2010-D-26536,COMPSCI,169,LEC,001
2010-D-36442,GEOG,C32,LEC,001
2010-D-39060,HISTORY,5,LEC,001
2010-D-52040,L & S,C70V,LEC,001
2010-D-53879,MATH,16B,LEC,001
2010-D-56102,MEC ENG,C218,LEC,001
2010-D-69342,PHYSICS,C10,LEC,001
2010-D-7253,BIOLOGY,1A,LEC,001
2010-D-7334,BIOLOGY,1AL,LEC,001
2010-D-7409,BIOLOGY,1B,LEC,001
2010-D-76244,PB HLTH,251D,LEC,001
2010-D-76268,PB HLTH,257B,LEC,001
2010-D-87392,STAT,20,LEC,003
2011-B-10953,CHEM,1A,LEC,001
2011-B-1203,ENVECON,C1,LEC,001
2011-B-12230,CHEM,C234,LEC,001
2011-B-16066,COG SCI,C102,LEC,001
2011-B-16096,COG SCI,C103,LEC,001
2011-B-22375,ECON,C3,LEC,001
2011-B-25461,EL ENG,140,LEC,001
2011-B-25479,EL ENG,141,LEC,001
2011-B-25539,EL ENG,C149,LEC,001
2011-B-25830,EL ENG,240,LEC,001
2011-B-25848,EL ENG,290C,LEC,001
2011-B-26230,COMPSCI,10,LEC,001
2011-B-26281,COMPSCI,61A,LEC,001
2011-B-26476,COMPSCI,C149,LEC,001
2011-B-26554,COMPSCI,164,LEC,001
2011-B-29383,ESPM,114,LEC,001
2011-B-39621,HISTORY,162B,LEC,001
2011-B-39702,HISTORY,C192,LEC,001
2011-B-42503,INFO,C103,LEC,001
2011-B-4303,ART,8,LEC,001
2011-B-46448,IAS,107,LEC,001
2011-B-46508,IAS,207,LEC,002
2011-B-4771,ART,23AC,LEC,001
2011-B-55652,MEC ENG,110,LEC,001
2011-B-56742,MEDIAST,C104C,LEC,001
2011-B-58450,MCELLBI,C148,LEC,001
2011-B-5953,ASTRON,7B,LEC,001
2011-B-6999,BIO ENG,200,SEM,001
2011-B-70516,PLANTBI,C148,LEC,001
2011-B-71798,POL SCI,179,LEC,001
2011-B-7253,BIOLOGY,1A,LEC,001
2011-B-7334,BIOLOGY,1AL,LEC,001
2011-B-7409,BIOLOGY,1B,LEC,001
2011-B-74124,PSYCH,C129,LEC,001
2011-B-76174,PB HLTH,C234,LEC,001
2011-B-76175,PB HLTH,241,LEC,001
2011-B-76202,PB HLTH,253B,LEC,001
2011-B-76205,PB HLTH,253E,LEC,001
2011-B-81878,SOCIOL,185,SEM,001
2011-B-8344,UGBA,196,LEC,006
2011-D-10953,CHEM,1A,LEC,001
2011-D-11187,CHEM,3B,LEC,002
2011-D-1203,ENVECON,C1,LEC,001
2011-D-1221,ENVECON,100,LEC,001
2011-D-19009,EPS,C20,LEC,001
2011-D-22303,ECON,1,LEC,001
2011-D-22372,ECON,C3,LEC,001
2011-D-22570,ECON,119,LEC,001
2011-D-25293,EL ENG,42,LEC,001
2011-D-25344,EL ENG,100,LEC,001
2011-D-25392,EL ENG,105,LEC,001
2011-D-25503,EL ENG,141,LEC,001
2011-D-25845,EL ENG,C245,LEC,001
2011-D-26230,COMPSCI,10,LEC,001
2011-D-26371,COMPSCI,61B,LEC,001
2011-D-26398,COMPSCI,61C,LEC,001
2011-D-26518,COMPSCI,162,LEC,001
2011-D-26599,COMPSCI,188,LEC,001
2011-D-36272,GEOG,C110,LEC,001
2011-D-39564,HISTORY,151C,LEC,001
2011-D-39612,HISTORY,167A,LEC,001
2011-D-39621,HISTORY,C187,LEC,001
2011-D-45024,ISF,C101,LEC,001
2011-D-4789,ART,23AC,LEC,001
2011-D-52055,L & S,C70V,LEC,001
2011-D-52094,L & S,C70Y,LEC,001
2011-D-52097,L & S,C140V,LEC,001
2011-D-53804,MATH,16A,LEC,001
2011-D-53861,MATH,16A,LEC,002
2011-D-53900,MATH,16B,LEC,001
2011-D-56174,MEC ENG,C218,LEC,001
2011-D-5967,ASTRON,10,LEC,002
2011-D-67124,PHILOS,3,LEC,001
2011-D-69414,PHYSICS,C10,LEC,001
2011-D-73953,PSYCH,101,LEC,001
2011-D-7403,BIOLOGY,1A,LEC,001
2011-D-7484,BIOLOGY,1AL,LEC,001
2011-D-7559,BIOLOGY,1B,LEC,001
2011-D-76121,PB HLTH,200C2,LEC,001
2011-D-76232,PB HLTH,250A,LEC,001
2011-D-76250,PB HLTH,250B,LEC,001
2011-D-87402,STAT,20,LEC,002
2012-B-11009,CHEM,1A,LEC,002
2012-B-1203,ENVECON,C1,LEC,001
2012-B-14008,CIV ENG,120,LEC,001
2012-B-16072,COG SCI,C103,LEC,001
2012-B-2003,AMERSTD,10AC,LEC,001
2012-B-22372,ECON,C3,LEC,001
2012-B-22492,ECON,104,LEC,001
2012-B-25479,EL ENG,140,LEC,001
2012-B-25539,EL ENG,C149,LEC,001
2012-B-26227,COMPSCI,10,LEC,001
2012-B-26266,COMPSCI,61A,LEC,001
2012-B-26515,COMPSCI,C149,LEC,001
2012-B-26575,COMPSCI,162,LEC,001
